tick,mA
0,2.122246295727021
1,2.0352050590663566
2,2.0051305959334247
3,1.9791742128145449
4,1.9753057134074046
5,1.9751809231039483
6,2.0442523560669272
7,2.0209789644723553
8,1.8687971894075803
9,1.8748495191252033
10,1.8837096306705898
11,2.2181476439330736
12,2.467041904176365
13,2.277360642923016
14,1.9525314830266565
15,1.9851017522287118
16,1.9584590224408245
17,1.9592701594132886
18,1.8312353080672792
19,1.8393466777919285
20,1.8400330244609373
21,1.9598941109305696
22,1.9747441570418518
23,2.0061289183610733
24,1.8400330244609375
25,2.002322814105661
26,2.1269259321066274
27,1.8786556233806158
28,2.1198752799613545
29,1.8414681129506831
30,1.9193996574590493
31,1.8351662026261475
32,1.8973117737473102
33,2.6752545254929516
34,2.835485275130649
35,2.9491068464274743
36,2.934693566378289
37,2.8565748364147385
38,2.5154605419173515
39,2.5431015941328887
40,2.649610118132713
41,3.124374827631637
42,2.656348794519346
43,2.4762139914803925
44,3.1090256203065305
45,2.6079301567783584
46,2.5848439506389713
47,2.627896605331342
48,2.7627949233674416
49,2.5361757322910727
50,2.7976738131834358
51,3.1931342848359763
52,3.0763305608010194
53,3.364284186026086
54,3.419753475912345
55,2.7677865355056865
56,2.610238777392298
57,2.6856745158315403
58,2.5395450704843885
59,1.9650729085239997
60,1.9680678758069474
61,2.002884370471213
62,1.917902173817575
63,2.0192942953756976
64,2.144958130956041
65,2.2514666549558653
66,2.5947647797637345
67,2.411697404593562
68,2.4949325369988147
69,2.6386909665803
70,2.2246991348645206
71,2.0354546396732687
72,2.0544851609503314
73,2.023724351148391
74,2.1789634886478413
75,2.0515525888191117
76,1.6592742699047036
77,2.3137994115322127
78,2.477212313908041
79,2.730848605682667
80,2.6835530806727856
81,2.9200931008739186
82,2.8513336436695798
83,2.4697872908524006
84,2.7357154275174573
85,3.0468800491853676
86,3.302013824601467
87,3.1242500373281805
88,4.380950788283344
89,4.187276237319397
90,3.6588516973343292
91,3.6163605990075096
92,3.6556695445961975
93,3.446146625093321
94,3.780959009266172
95,3.151017557419525
96,2.729725492951562
97,2.9199683105704626
98,2.412820517324668
99,3.4050282201045197
100,3.2384331649905578
101,3.038019937639981
102,2.6794973958104604
103,2.23705337490668
104,2.9502299591585794
105,3.396480084317773
106,2.9412450573097364
107,2.4098255500417207
108,2.6451176672082917
109,2.411822194897018
110,2.9446143955030517
111,2.6395644987044933
112,2.5574524790303457
113,2.2210802160642924
114,1.8848951385534236
115,2.264507241667033
116,2.9821138816916246
117,2.6063702779851563
118,2.615604760440912
119,2.3720764832462344
120,2.0962275174564136
121,2.6791230249000924
122,2.8863997189407584
123,2.547594045057309
124,3.1243124324799094
125,2.859507408545958
126,2.912543287514822
127,3.5550885600105406
128,3.380943691537482
129,3.2607082341574816
130,2.945113556716877
131,1.8695459312283167
132,2.6621515436300562
133,3.0002084756927667
134,2.3252177242984504
135,2.496118044881648
136,2.0904871634974316
137,2.200115445083659
138,3.006759966624215
139,2.910297062052612
140,2.660529269685126
141,2.1607441043432436
142,1.9223946247419965
143,2.233996012472004
144,2.9623346185938257
145,2.6275222344209745
146,2.718307180185324
147,2.4603656229414606
148,1.8651782706073516
149,0.7907337578498969
150,0.7413791928329894
151,0.9441010407975059
152,0.7064379078652673
153,0.5802125159193712
154,0.5076469544596197
155,0.47389117737473113
156,0.380860006148171
157,0.5133873084186028
158,0.46465669491897593
